PedidoID,FechaPedido,ClienteNombre,ClienteCorreo,ClienteTel,ProductoNombre,Categoría,PrecioUnit,Cantidad,TotalPedido,DirecciónEnvio,Ciudad,EstadoEnvio
1,2025-08-01,Juan Pérez,juan.pérez@Email.Com,3001234567,Teclado Mecánico Corsair,Periféricos,150,1,2800,Cra 45 #23-45,Bogotá,Enviado
1,2025-08-01,Juan Pérez,juan.pérez@Email.Com,3001234567,Monitor LG UltraWide,Computadores,700,1,2800,Cra 45 #23-45,Bogotá,Enviado
1,2025-08-01,Juan Pérez,juan.pérez@Email.Com,3001234567,Silla Gamer Razer,Muebles,350,3,2800,Cra 45 #23-45,Bogotá,Enviado
1,2025-08-01,Juan Pérez,juan.pérez@Email.Com,3001234567,Impresora HP LaserJet,Computadores,300,3,2800,Cra 45 #23-45,Bogotá,Enviado
2,2025-08-02,María López,María_Lopez_at_email.com,3109876543,Teclado Mecánico Corsair,Periféricos,150,3,2850,Calle 12 #34-56,Medellín,En preparación
2,2025-08-02,María López,María_Lopez_at_email.com,3109876543,Monitor LG UltraWide,Computadores,700,1,2850,Calle 12 #34-56,Medellín,En preparación
2,2025-08-02,María López,María_Lopez_at_email.com,3109876543,AirPods Pro,Accesorios,200,3,2850,Calle 12 #34-56,Medellín,En preparación
2,2025-08-02,María López,María_Lopez_at_email.com,3109876543,Samsung Galaxy S23,Smartphones,1100,1,2850,Calle 12 #34-56,Medellín,En preparación
3,2025-08-03,Pedro Gómez,pedro.gomez@Email.Com,3015556677,Mouse Logitech M185,Periféricos,25,2,3200,Av. 5 #12-34,Cali,Entregado
3,2025-08-03,Pedro Gómez,pedro.gomez@Email.Com,3015556677,Samsung Galaxy S23,Smartphones,1100,2,3200,Av. 5 #12-34,Cali,Entregado
3,2025-08-03,Pedro Gómez,pedro.gomez@Email.Com,3015556677,Silla Gamer Razer,Muebles,350,1,3200,Av. 5 #12-34,Cali,Entregado
3,2025-08-03,Pedro Gómez,pedro.gomez@Email.Com,3015556677,Impresora HP LaserJet,Computadores,300,2,3200,Av. 5 #12-34,Cali,Entregado
4,2025-08-04,Ana Torres,ana.Torres@Email.Com,3029988776,Cámara Web Logitech,Accesorios,90,1,4790,Carrera 8 #45-67,Bogotá,Enviado
4,2025-08-04,Ana Torres,ana.Torres@Email.Com,3029988776,Impresora HP LaserJet,Computadores,300,3,4790,Carrera 8 #45-67,Bogotá,Enviado
4,2025-08-04,Ana Torres,ana.Torres@Email.Com,3029988776,iPhone 14 Pro,Smartphones,1200,3,4790,Carrera 8 #45-67,Bogotá,Enviado
4,2025-08-04,Ana Torres,ana.Torres@Email.Com,3029988776,AirPods Pro,Accesorios,200,1,4790,Carrera 8 #45-67,Bogotá,Enviado
5,2025-08-05,Luis Fernández,luis.Fernández@Email.Com,3004455667,iPhone 14 Pro,Smartphones,1200,1,5450,Cl 20 #10-40,Barranquilla,Enviado
5,2025-08-05,Luis Fernández,luis.Fernández@Email.Com,3004455667,iPhone 14 Pro,Smartphones,1200,3,5450,Cl 20 #10-40,Barranquilla,Enviado
5,2025-08-05,Luis Fernández,luis.Fernández@Email.Com,3004455667,Silla Gamer Razer,Muebles,350,1,5450,Cl 20 #10-40,Barranquilla,Enviado
5,2025-08-05,Luis Fernández,luis.Fernández@Email.Com,3004455667,Teclado Mecánico Corsair,Periféricos,150,2,5450,Cl 20 #10-40,Barranquilla,Enviado
6,2025-08-06,Carmen Díaz,Carmen.diaz_at_email.com,3112233445,AirPods Pro,Accesorios,200,1,1130,Cra 30 #40-50,Cartagena,En preparación
6,2025-08-06,Carmen Díaz,Carmen.diaz_at_email.com,3112233445,Mouse Logitech M185,Periféricos,25,2,1130,Cra 30 #40-50,Cartagena,En preparación
6,2025-08-06,Carmen Díaz,Carmen.diaz_at_email.com,3112233445,Cámara Web Logitech,Accesorios,90,2,1130,Cra 30 #40-50,Cartagena,En preparación
6,2025-08-06,Carmen Díaz,Carmen.diaz_at_email.com,3112233445,Silla Gamer Razer,Muebles,350,2,1130,Cra 30 #40-50,Cartagena,En preparación
7,2025-08-07,Andrés Martínez,andres.Martínez@Email.Com,3123344556,AirPods Pro,Accesorios,200,3,5250,Av. 3 #15-25,Bucaramanga,Entregado
7,2025-08-07,Andrés Martínez,andres.Martínez@Email.Com,3123344556,Teclado Mecánico Corsair,Periféricos,150,1,5250,Av. 3 #15-25,Bucaramanga,Entregado
7,2025-08-07,Andrés Martínez,andres.Martínez@Email.Com,3123344556,Monitor LG UltraWide,Computadores,700,3,5250,Av. 3 #15-25,Bucaramanga,Entregado
